Cause,Count,Percentage,Cumulative_Percentage
"Other - During splitting the line flow at 170MW at CR Burgett 135, Danforth 111 and 113 tripped and reclosed. Arcadia did not operate.",1,0.01,57.74999999999962
Power System Condition - SPS operated to prevent overload of the Wooward District/Windfarm SS 138 kV line.,1,0.01,57.75999999999962
"Other - Drum Level, unit # 5 tripped off, expected to come back online, Trip and Return switching order G0008.",1,0.01,57.76999999999962
"Other - Cooling tower icing, tripped bank of fans",1,0.01,57.77999999999962
"Weather, excluding lightning - Three Sands PCB 13 was locked open with the Osage 69kv line.",1,0.01,57.789999999999615
"Weather, excluding lightning - Weather in the area. Notified DCC  and AVEC.",1,0.01,57.79999999999961
"Weather, excluding lightning - Cimarron 186 is already open due to Cimarron/PSO Cornville outage.",1,0.01,57.80999999999961
"Weather, excluding lightning - Cimarron 312 is and was cleared out per S1615.",1,0.01,57.81999999999961
Unknown - Cleo Corner was already open when this disturbance occurred. Cleo Corner 107 opened by scada at 0128 due to excessive operations.  Sent open command by scada at 01:48:14. Opened MOS 136 and closed ring back.  Used scada times.,1,0.01,57.82999999999961
"Unknown - ice storm, opened Cleo Corner 107 by scada at 01:28:48 to avoid excessive operations and separate fault from WFEC Mooreland generation. IMO side closed back automatically and then tripped back at 0147, see other disturbance for that side.",1,0.01,57.839999999999606
"Weather, excluding lightning - Coyote MOS 132 was already open (No source from Renfrow)  Coyote 183, 184 was tripped via the Line Differential Transfer Trip.    Coyote 184 closed DB(184-185), HB(183-184) since the Renfrow line was dead.  Coyote 183 closed HLIP after 184 closed.",1,0.01,57.8499999999996
"Weather, excluding lightning - Shield wire down on two structures. May need to adjust/add open/closes at Tatonga, alarm query program not working, alarms have already dropped off of scada list, and the reclosing report has been changed to Matthewson, unsure of exact sequence",1,0.01,57.8599999999996
"Weather, excluding lightning - Renfrow 137 automatically opened during sequence to isolate line and allow 182/112 to close back.  Coyote 132 automatically opened during sequence to isolate line and allow 184/185 to close back.  S1809",1,0.01,57.8699999999996
"Weather, excluding lightning - WFEC owned line. WFEC DTF is 4 miles out of WFEC Wakita according to WFEC relaying.",1,0.01,57.8799999999996
"Weather, excluding lightning - Fault was on WFEC portion of line, isolated and re-energized in coordination with PSO. S1803",1,0.01,57.889999999999596
"Weather, excluding lightning - DTF 1.1 miles from Woodring, shows 0 from Sooner (both via scada) Woodring 313 and 315and Sooner 313 and 183 were restored on 01/01/2016 S1832.",1,0.01,57.899999999999594
"Unknown - Ice Storm, did not try to reclose, PSO and OGE System Operators decided to leave it open due to ice storm and we have already lost multiple lines in the same area.",1,0.01,57.90999999999959
Unknown - Ice Storm,1,0.01,57.91999999999959
"Weather, excluding lightning - El Reno 110 was cleared out and open due to S1745 on previous Thanksgiving ice storm.",1,0.01,57.92999999999959
"Unknown - no problem found on line, closed by scada the day after storm, suspect that line was galloping in high winds during blizzard.",1,0.01,57.939999999999586
"Weather, excluding lightning - Fairmont 114",1,0.01,57.949999999999584
"Human Error - Contractors rolled sudden lockout relay on R375 during reactor maintenance, they didn't realize it would trip the line",1,0.01,57.95999999999958
Power System Condition - Line down between Third St & Muldrow Tap,1,0.01,57.96999999999958
Other - Boiler Feed Pump,1,0.01,57.97999999999958
Failed AC Circuit Equipment - Line crew found broken cross arm. Notified WFEC and DCC repaired and back to normal. MB 1100 2/23/16,1,0.01,57.989999999999576
Failed AC Circuit Equipment - Broken cross-arm between Horseshoe Lake and Midway 138kV line section.,1,0.01,57.999999999999574
"Unknown - Chandler 69kV is under a clearance to remove substation, hence Chandler 14 did not operate.",1,0.01,58.00999999999957
Failed AC Circuit Equipment - 4.16 KV Switch 44 failed.,1,0.01,58.01999999999957
Lightning - Switch 30 was open already at Muldrow Tap going to Third Street.,1,0.01,58.02999999999957
Lightning - Switch at Little city 137 was open already.  Field crews said there were no targets.,1,0.01,58.039999999999566
"Lightning - Severe weather in the area. Notified DCC.    Misoperation from fault on the Massard 111 to VBI 184, 186 161kV line - Disturbance ID 11178",1,0.01,58.049999999999564
"Unknown - DCC and AVEC notified.  Possible mis-op on Branch 131    Branch MOS 131 opened after the 1st reclose of Branch 186, as designed.  Looks like SCADA missed the first reclose of Branch 186.",1,0.01,58.05999999999956
"Weather, excluding lightning - High Wind",1,0.01,58.06999999999956
"Weather, excluding lightning - High wind",1,0.01,58.07999999999956
Human Error - While doing testing on Helberg PCB 188 rolled lock causing trip on SWEP Hitzhugh 13390,1,0.01,58.089999999999556
Human Error - Rolled a locked during breaker maintenance on Helberg 186,1,0.01,58.099999999999554
Failed AC Substation Equipment - Sooner 345 kV PCB 382 failed catastrophically during opening with normal switching S0269    Sooner 312 was already open from switching.,1,0.01,58.10999999999955
Other - PCB 382 at Sooner failed in service while switching out Spring Creek per S0269,1,0.01,58.11999999999955
"Failed AC Substation Equipment - PCB392  opened after PCB 382 blew up during switching S0269  Field personnel reported breaker failure for Spring Creek line relay showed B,N,X,B,N. Also showed SOTF-50 for Unit #2 primary relay.",1,0.01,58.12999999999955
"Weather, excluding lightning - Turkey Creek fed from WFEC Dover due to cleared out line from Turkey Creek to OMPA Bowman.",1,0.01,58.139999999999546
Failed AC Substation Equipment - Breaker tripped due to fault on WFEC line section beyond Webb City Tap.,1,0.01,58.149999999999544
"Weather, excluding lightning - We had Knobhill PCB 4 open for maintenance outage on Knobhill Bank 4.  High wind event cleared Knobhill to Imo line and then another event cleared Alva to Knobhill with Alva PCB 7 several times and did not operate Knobhill PCB 5 because of the zone being closer to ALva.  Knobhill PCB 5 was operated manually open and then manually closed because it was the only thing supplying Knobhill Bank 1.",1,0.01,58.15999999999954
Fire - pole on fire,1,0.01,58.16999999999954
Other - Car  hit pole at NW 178th and Meridian. Northwest/Ketch 138KV line section.,1,0.01,58.17999999999954
Unknown - Found Rocky Point to Foundation/Russett Line Primary Relay for AMOS 131 Trip 50/51 A phase to ground Zone 1 and a DST of 4.8 miles.  Same for the Backup relay on switch AMOS 131.  PCB 109 opened and closed back.  FIS 121 opened and stayed open since it was in supervisory.  Nothing was found to be the problem and distribution was backfed so FIS121 was closed back at 07:41 with no issues. looks like Foundation PCB 107 reclosed and the same with Rusett PCB 108.,1,0.01,58.189999999999536
Failed AC/DC Terminal Equipment - Unit Tripped due to Exciter Rheostat Malfunction.  Unit was placed in Safeguard.,1,0.01,58.199999999999534
Other - Showed over current on A-ph             Closed 194 at 1432 & 184 at 1433,1,0.01,58.20999999999953
Failed AC Substation Equipment - White Eagle 136 switch was arcing.,1,0.01,58.21999999999953
Unknown - Chikaskia PCB 10 just opened up.,1,0.01,58.22999999999953
Unknown - This appears to be a mis-operation. Dayton 108 operated at or near the same time as the Northwest Bank 3 trip and lockout. Mustang 105 & 115 did not appear to operate.,1,0.01,58.239999999999526
Unknown - Northwest Bank 3 tripped and locked out. Personnel dispatched to investigate. Notified SPP RC & DCC of outage.,1,0.01,58.249999999999524
"Hydro Units in NW Arkansas began oscillating at 1.4Hz and stopped when Bull Shoals Unit 8 tripped.  Duration, 00:07:05",1,0.01,58.25999999999952
Other - Muskogee Unit 6 had a rapid rate decent from 265MW to 6MW due to loss of boiler. Unit finally tripped offline at 0522 for loss of 60MW after losing the boiler again.,1,0.01,58.26999999999952
Failed AC/DC Terminal Equipment - jh,1,0.01,58.27999999999952
"Unknown - PCB 114 had been switched out for testing of 114 & repair of 114 L  2.    When opening cabinet door loose component  fell causing Lockout relay to pickup, causing Buss 2 lockout to pickup.  Reset lockouts & Closed PCB 112, 113 & 191.",1,0.01,58.289999999999516
Failed AC Substation Equipment - Cimarron PCB 111 tripped while attempting to close Cimarron PCB 181,1,0.01,58.299999999999514
"Weather, excluding lightning - weather in area, fault located on WFEC line. WFEC sectionalized and OGE carrying WFEC loads",1,0.01,58.30999999999951
Failed Protection System Equipment - Scada showed Tinker 5 138kV PCB 109 operated during a disturbance on the Horseshoe Lake/Lincoln County 138kV line (disturbance # 10818),1,0.01,58.31999999999951
Unknown - Verified with WFEC and SPA. Their end of this line section did not trip.,1,0.01,58.32999999999951
Unknown - Approximately 50MW online when unit tripped.,1,0.01,58.339999999999506
Other - Mustang Unit #4 Tripped for unknown reasons at this time.,1,0.01,58.349999999999504
Unknown - multiple operations.  Weather in the area.  Cedar REA transformer blew an arrester and a jumper between Spiro Coal and OMPA Skullyville was down.,1,0.01,58.3599999999995
Other - instrumentation failure,1,0.01,58.3699999999995
Unknown - Roland Road PCB 8 did not reclose and Third Street PCB 84 did not reclose.,1,0.01,58.3799999999995
Unknown - Arbuckle RTU was down at the time of the operation (assuming an operation until someone can go to the sub and get counters).  Chigley cap bank C71 opened because of relay and being on the line between Chigely 14 and Arbuckle 6.    Distance to Fault from Chigley 8.3 miles.,1,0.01,58.389999999999496
"Unknown - It did not appear that Bodle 112 operated. During this same operation, Lula 114 operated also. No outages reported on this disturbance due to the fact that Bodle 112 stayed closed.    Bodle 112 did operate.  This was a SCADA error.",1,0.01,58.399999999999494
Contamination - Bart Stover reports dead squirrel may have caused this operation.,1,0.01,58.40999999999949
"Failed Protection System Equipment - Tripped out and did not try to reclose.  Distance to fault from Beaver County is 69.3 miles of a 99 mile line.  WWD EHV 306 & 386 Locked out.  Block Close at WWD EHV from 21-338 and 87L-338.  At WWD EHV and at Beaver County the ATTT.  There is an alarm at Beaver County that Reactor 5R73 Pri L/O Relay.  The 5R73 Prim Relay had Trip, Inst, C, 87-3.    Note: When Nick Shroud got out to Beaver County they were doing some switching and reset targets before he go there.",1,0.01,58.41999999999949
Other - Memorial 138kV PCB 109 mis-operation during fault on Arcadia/Danforth 138kV line section disturbance ID# 11045,1,0.01,58.42999999999949
"Failed AC Circuit Equipment - Problem found to be disconnected jumper on A phase (Danforth side) of structure near CR Burgett.  Round Barn 138kV MOS 130 opened by Scada at 2151 and closed by Scada on return switching at 1830 on 7/23/16 NOTE: This switch 130 was mistakenly opened while energized from Arcadia and feeding two phases of Danforth and CR Burgett load. Switch fired up and caused Arcadia breakers to trip out and reclose. Danforth closed back once 130 opened and the line and bus went to 0V.     Scada did not show Arcadia PCB open on second operation at 2151, but did show to close, we believe this is due to Scada counting the open close as one operation due to polling rates.",1,0.01,58.439999999999486
"Weather, excluding lightning - It is Cushing Tap PCB 6 instead of PCB 7.  Weather in area.  PCB 6 didn't show to operate but we believe it did.  Will need counters to be sure.  Distance to fault was 6.1 miles from Greenwood.",1,0.01,58.449999999999484
Unknown - Weather in the area.  Greenwood operated twice.,1,0.01,58.45999999999948
"Lightning - Weather in Area,  All sline sections opened.  MOS 130 at Dale opened.  We manually closed back on Ingelwood 109 and Forest Hill 113 picked up WFEC Sterling.",1,0.01,58.46999999999948
"Unknown - SPP RC, DCC, and ANO all notified,  Per note on Ft. Smith SCADA Display:  CCVT 6B23PT@ has been removed...breakers will not reclose automatically.",1,0.01,58.47999999999948
"Weather, excluding lightning - Severe weather in the area. SPS showed to go into alarm prior to disturbance. Mathewson 305 and 385 did not show to trip. Tatonga 389  failed to reclose.",1,0.01,58.489999999999476
"Weather, excluding lightning - Severe Weather in the area. Notified DCC and Crossroads Windfarm awaiting call back from Crossroads Windfarm to reclose breakers ar Crossroads. Generating approximately 35MW at time of trip. SPS went into alarm prior to trip.",1,0.01,58.499999999999474
Lightning - Severe weather in the area. Notified DCC. Etowah 6 under a Hot Line hold per S1015.,1,0.01,58.50999999999947
"Weather, excluding lightning - high Wind event",1,0.01,58.51999999999947
Lightning - Severe weather in the area. Notified DCC. Switched out under a Hot line hold S1015.,1,0.01,58.52999999999947
"Lightning - Severe weather in the area. Notified DCC. Switched out Under a Hot line Hold status per S1012, however no active HLH in effect, re-closed breakers by scada.",1,0.01,58.539999999999466
"Lightning - Severe weather in the area, Notified DCC.",1,0.01,58.549999999999464
"Weather, excluding lightning - Mustang 69kV PCB 82 tripped open 2 minutes after Mustang/38th Street 69kv line tripped and reclosed. No other breakers operated during PCB 82 operation.    Mustang 69kV PCB 83 did operate.",1,0.01,58.55999999999946
"Lightning - Severe Weather in the area, Notified DCC and OMPA.",1,0.01,58.56999999999946
Other - Thunderstorms in area.,1,0.01,58.57999999999946
Other - Thunderstorms in the area.,1,0.01,58.589999999999456
Other - Bad weather in the area.  Bluebell Scada down at the time.,1,0.01,58.599999999999454
"Fault near Van Buren starts oscillation, Eufala Dam trips and other units continue to respond.  Duration 00:00:53",1,0.01,58.60999999999945
"Weather, excluding lightning - Weather in the area. SPA reported 3 phase fault on their line.",1,0.01,58.61999999999945
Unknown - Storms in the area.  problem is between jamesville and agency.  all customers were picked up at 15:22,1,0.01,58.62999999999945
Unknown - Ponca City is patrolling line.  Weather in area,1,0.01,58.639999999999446
"Lightning - Severe weather in the area. This terminal Wilkinson T115 breaker did not trip for Draper Lake line operation, but shows a RG target for the Hollywood line and a R target for the Draper line.",1,0.01,58.649999999999444
"Failed Protection System Equipment - Misoperation from fault on the Cedar Lane T116 to Draper Lake 105, 185 to Wilkinson T115 138kV line - Disturbance ID 11054",1,0.01,58.65999999999944
"Lightning - Severe weather in area. Notified DCC. Wilkinson T115 did not appear to trip, unsure.  Update: Wilkinson T115 breaker did not trip for Draper Lake line operation, but shows a RG target for the Hollywood line and a R target for the Draper line. Switching out for investigation as of 1515 7/26/16.",1,0.01,58.66999999999944
"Weather, excluding lightning - Arbuckle sub RTU was down when this happened.  AMOS 139 at Honey Creek opened.  Then 184 and 182 reclosed.  Jollyville AMOS T127 opened.   Problem found was static wire down on Price's Fall side of Jolleyville and 6 structures down on the Sulphur side of Jollyville. Small storm moved through and 70MPH winds reported.",1,0.01,58.67999999999944
"Unknown - SPA Brown 72 did not operate, but their 52 breaker did. No weather in the area. Unknown cause.  Shawn is checking on this disturbance.",1,0.01,58.689999999999436
"Russellville-Dardanelle line tripped and several Hydro units in NW Arkansas oscillated, Duration 0:00:40",1,0.01,58.699999999999434
"Weather, excluding lightning - Weather knocked down multiple poles in line section.",1,0.01,58.70999999999943
"Failed AC Substation Equipment - Fitzgergald Creek to Pine Street line operated open last night.  Drove the line and did not find any problems.  closed Fitzgerald Creek 136 to test line.  Mcelroy PCB 108 and OGE Kinzie PCB 107 operated to clear fault.  This took both GRDA Kinzie and Fitzgeral Creek out,  Opened Fitzgerald Creek 136 and closed in on McElroy PCB 108 and OGE Kinzi PCB 107 to pick up both loads.  Cottonwood Creek was not involved.",1,0.01,58.71999999999943
Unknown - Large voltage draw down at time of trip,1,0.01,58.72999999999943
Failed AC Substation Equipment - Cottonwood Creek AMOS 134 operated correctly and sectionalized Pine street  Fitzgerald Creek AMOS 135 operated correctly and sectionalized Fitzgerald Creek.  Clear weather.  Problem was found to be a bad lightning arrestor at Fitzgerald Creek.,1,0.01,58.73999999999943
"Unknown - Market Ops reported Smith Gen tripped offline unexpectedly. Cause unknown at this time. Running at 107MW at time of Trip. Market Ops notified SPP.  At 15:37 Smith Co is online and available. Market Ops did not have a reason of why the unit tripped offline at this time,",1,0.01,58.749999999999424
Unknown - Slack in static wire plus high winds appears to have caused a ground to fault.    Line Section open between Jollyville and Sulphur so Arbuckle 110 did not operate.    Honey Creek AMOS 139 operated correctly.,1,0.01,58.75999999999942
"Unknown - Storms in area.   Kerr McGee Sequoyah PCB 10 operated and Muskogee PCB 7 operated, but Warner Tap PCB 9 did not.",1,0.01,58.76999999999942
"Lightning - Sever weather in the area. High winds of 80MPH +. Notified DCC of trip and re-close. N.E. Enid 12 appeared to be locked open, sent a close command to close by scada NE Enid 12 at 17:55:21, after South 4th St 80 and 89 and Enid 15 re-closed on their own.  Waited for storm to pass from Enid area, then reconfigured Hemlock MOS 33 and MOS 32, Step1.) Placed on Supv Hemlock 32/33 at 18:18, Step2.) Closed by Scada Hemlock 33 at 18:19, Step3.) Opened by Scada Hemlock 32 at 18:19:30, Step4.) Placed on Auto Hemlock 32/33 at 18:20.",1,0.01,58.77999999999942
"Unknown - Storms in area.  Kerr McGee Sequoyah PCB 10 operated and Muskogee PCB 7 operated, but Warner Tap PCB 9 did not.",1,0.01,58.78999999999942
Lightning - Severe weather in the area. Chikaskia 12 tripped and re-closed. Notified DCC and City of Blackwell. Comms down it appeared that Osage 9 operated as a mis-op.,1,0.01,58.799999999999415
Unknown - Storm moving through area,1,0.01,58.80999999999941
Failed Protection System Equipment - See Disturbance Event 11116.  Uniroyal did not operate.,1,0.01,58.81999999999941
Other - Unit Tripped due to bad boiler,1,0.01,58.82999999999941
Lightning - Severe weather in the area. Notified DCC and OMPA.,1,0.01,58.83999999999941
Lightning - Severe weather in the area. Notified DCC and City of Blackwell. Comms down it appeared that Osage 9 operated as a mis-op.,1,0.01,58.849999999999405
Unknown - loss of 65MW due to boiler trip,1,0.01,58.8599999999994
Unknown - Distribution fault at Total Petroleum cause Total Petroleum T117 to operate. Chickasaw 107 failed to operate for unknown reasons.,1,0.01,58.8699999999994
Failed Protection System Equipment - Unknown reason for trip.,1,0.01,58.8799999999994
"Failed Protection System Equipment - Beaver County R373 has been in alarm for some time with no repair. This is a known problem when the lockout rolls, it locks out the line.  At 18:22 on 08/05/2016 The Woodward District EHV / Beaver County 345kV line 1 section has locked open due to a persistent fault.   No load off. No weather in the area. Dispatched personnel to investigate the outage. Case study indicates NO contingencies issues associated with this outage.    SPP CROW Outage 114489 submitted and filed. Notified DCC & SPP RC of outage.  Outage entered into the TCC OPS Log and TCC Disturbance data base.  Unknown return time or date for this outage.  Determined that the suspected cause was a faulty relay, Ryan Einer instructed to open a FT switch on the faulty relay.  Line then placed back into service with no further issues.",1,0.01,58.8899999999994
"Lightning - El Reno 109 did not operate because at this time, El Reno/Roman Nose 138KV line section out of service for clearance.",1,0.01,58.899999999999395
"Other - Beaver County R373 came into alarm. This is a known problem when the lockout rolls, it locks out the line. Storms in the area.",1,0.01,58.90999999999939
Other - Faulty boiler feed pumps alarm.,1,0.01,58.91999999999939
Failed AC Substation Equipment - 69 KV Line open between Medford & Nardin for bus work.  Trip occurred when high side switch to Transformer  Bank -1 at  Medford  was  closed.,1,0.01,58.92999999999939
Failed AC Circuit Equipment - Grant County was already deenergized due to previous operations.  Medford AMOS 30 was open.  Found damage on Medford sub.,1,0.01,58.93999999999939
"Weather, excluding lightning - Grant County 81 & 88 opened several times.  Opened by SCADA.    Nardin RTU is down so we don't know if they operated or not.  WFEC said their Numa sub was energized.  RTU came back at Nardin 09:37.  didn't show any operations.  AMOS 30 opened at Medford and sectionalized.  The tripping relay for AMOS 30 was chattering also.",1,0.01,58.949999999999385
"Unknown - WFEC El Reno 352 tripped at this time, Jensen Rd 110 also tripped and closed but scada was down there so the timing is unknown. WFEC had their Sunshine Canyon line lock out.  Cim 181 stayed open even after 111 closed back, received control fail first time we tried to close, sent open command, then another close and it actually closed.",1,0.01,58.95999999999938
Lightning - Canadian River Breakers opened on a possible misoperation during a Muskogee/Ft. Smith 345KV line operation.,1,0.01,58.96999999999938
Other - Boiler caused the trip.,1,0.01,58.97999999999938
"Lightning - Severe weather in the area. Notified DCC, WFEC and OPMA.",1,0.01,58.98999999999938
"Lightning - High winds and lightning in the area. Initial look over by maintenance personnel indicates relay problem with T115, relay tech en route at this time",1,0.01,58.999999999999375
"Weather, excluding lightning - PSO to repair broken insulator and downed A phase.  CROW # 108426 entered by PSO.",1,0.01,59.00999999999937
"Weather, excluding lightning - Westar and Kay Wind notified. Weather in the area.",1,0.01,59.01999999999937
Unknown - Maud Tap 8 has operated a few times in a few days.,1,0.01,59.02999999999937
Unknown - Chandler PCB 14 did not trip. Has no source behind it.,1,0.01,59.03999999999937
Other - Large Electro-Hydraulic leak in the Control Valve system.,1,0.01,59.049999999999365
Other - Loss of all but one mill. Loss of 340MW at time of trip.,1,0.01,59.05999999999936
Unknown - HSL Unit 8 lost boiler at 1848 and tripped breakers at 1854. Loss of 233MW.,1,0.01,59.06999999999936
"Human Error - Weather in the area. Ranch Road 311 did not operate because it is inside a clearance.  Open Sky 388 did not show to trip, possible mis-op.",1,0.01,59.07999999999936
"Unknown - Notified SPP, DCC, Westar, WFEC, and OMPA notified, CA ran no issues identified,  no ETR at this time.  Cause unknown at this time.  Switchmen in route.  White Eagle sectionalized automatically and Bank 1 restored at 23:48:05.",1,0.01,59.08999999999936
Human Error - Heath Todd reset the bus differential out of sequence causing the bank to trip out.,1,0.01,59.099999999999355
"Weather, excluding lightning - OMPA notified, DCC notified. Weather in the area.",1,0.01,59.10999999999935
"Weather, excluding lightning - Entergy notified, DCC notified. Weather in the area.",1,0.01,59.11999999999935
"Weather, excluding lightning - PSO notified.  PSO Cornville is cleared out, OGE carrying PSO Blanchard load.",1,0.01,59.12999999999935
Unknown - PCB 308 was in outage already.  PCB 388 did not reclose due to the bus outage so no HLIP.  Thistle Line 1 Breakers opened and closed.  There is weather in the area. Closed PCB 388 manually by SCADA.,1,0.01,59.13999999999935
Unknown - Weather in the area.  WFEC sectionalized twice and we closed Cleo Corner PCB 10 twice.  Second time it held.,1,0.01,59.149999999999345
Unknown - Weather in the area.  Everything closed back properly,1,0.01,59.15999999999934
Failed AC Circuit Equipment - Broken insulator and cross-arm.,1,0.01,59.16999999999934
Failed AC Circuit Equipment - Broken insulator. ----    Line section is Cushing Tap PCB 6 to Greenwood 9 NOT Cushing Tap 7 ---------,1,0.01,59.17999999999934
"Weather, excluding lightning - WEATHER IN AREA",1,0.01,59.18999999999934
"Entergy Grand Gulf Nuclear Station had a control valve malfunction, causing 0.26Hz oscillation seen in much of the EI.  Duration, 00:45:00",1,0.01,59.199999999999335
Unknown - Second operations in two days.,1,0.01,59.20999999999933
Unknown - Jonathon Moore reports B Phase Differential on Transformer Bank 1.,1,0.01,59.21999999999933
"Failed Protection System Equipment - Cimarron Z2 BU Relay problems, Dennis Stewart on his way to investigate.  El Reno didn't operate.",1,0.01,59.22999999999933
Failed AC Substation Equipment - Failed Lightning arrestor,1,0.01,59.23999999999933
Unknown - Sunnylane PCB 8 tripped when 38th/May 69kV Line tripped (Disturbance ID # 10844),1,0.01,59.249999999999325
"Power System Condition - PSO 138 kV breakers at PSO Lawton 345kV breakers did not operate, so our breakers saw into their system.  87L-338 POTT Trip SwW PTS has been off since 11/18/2011",1,0.01,59.25999999999932
Unknown - Key Number 723 - 728 show A-B-G Z2 but the time shows 1513 instead of 2019,1,0.01,59.26999999999932
Unknown - Key Number 723 - 728 show A-B-G Z2 but the time shows 1513 instead of 2013,1,0.01,59.27999999999932
Power System Condition - WFEC closing their El Reno CS75 Breaker caused Jensen Road PCB 110 to trip.,1,0.01,59.28999999999932
Unknown - Third Street 69kV PCB 84 failed to reclose after fault on line section.,1,0.01,59.299999999999315
Foreign Interference - Snake attempted to go from crossarm to conductor via insulator.,1,0.01,59.30999999999931
"Other - PSO attempted to reclose their PSO Lawton-Eastside 345kV PCB 3433A and Gracemont 345kV PCBs 313 and 383 operated. Gracemont 345kV PCBs 313 and 383 operated during a disturbance on the Sunnyside/PSO Lawton-Eastside 345kV line (disturbance #10822). Also, noted the 87L-338 PTS switch shows in the ""OFF"" position on SCADA.",1,0.01,59.31999999999931
"Weather, excluding lightning - Gracemont 345kV PCBs 313 and 383 operated during a disturbance on the Sunnyside/PSO Lawton-Eastside 345kV line (disturbance #10822). Also, noted the 87L-338 PTS switch shows in the ""OFF"" position on SCADA.",1,0.01,59.32999999999931
"Unknown - Switch 135 had a burnt phase at CR Burgett.  Opened 135 and closed by scada Danforth 111 & 113    ******MOS 136 did not open, Danforth 111 and 113 did not reclose, marked both PCBs as misops.******",1,0.01,59.33999999999931
"Weather, excluding lightning - Shows Border 383 but PCB 304 has been added. Was 384 & 304 that operated",1,0.01,59.349999999999305
"Weather, excluding lightning - weather in the area. Northwest PCB 312 did not show to open and no dead line indication",1,0.01,59.3599999999993
"Weather, excluding lightning - HSL Unit 6 took a lightning strike. DCC notified.",1,0.01,59.3699999999993
"Lightning - Lightning in area, breaker was in alarm and out of air so it did not re-close, counter starts at 291; this goes to N.O. Sinclair Drumright 30",1,0.01,59.3799999999993
"Failed Protection System Equipment - Muskogee Unit 4 tripped off at 16:21  7-13-2016, 500 MW online at time of trip.  SPP & DCC Notified.  Hydraulic Level Transmitter failed.    Trip and Return switching being perform on G0288.",1,0.01,59.3899999999993
Unknown - Park Lane RTU or the relay for Park Lane 7 was down at the start of this outage because the analogs showed yellow on the display.,1,0.01,59.399999999999295
Other - Cause unknown at this time for the loss of unit. Update: Unit #5 tripped due to high boiler level.,1,0.01,59.40999999999929
Unknown - Sooner 313 failed to Operate,1,0.01,59.41999999999929
Failed Protection System Equipment - Misoperation from fault on the Ardmore 13 to Chickasaw 8 69kV line - Disturbance ID 10959,1,0.01,59.42999999999929
Unknown - Sunnyside terminal operated unnecessarily.,1,0.01,59.43999999999929
Unknown - WFEC 138kV Canadian/Franklin line relayed. Paoli 138kV PBC 107 operated unnecessarily.,1,0.01,59.449999999999285
Failed AC Substation Equipment - The Sudden pressure relay operated to trip Tinker Bus #2.,1,0.01,59.45999999999928
Lightning - Line cleared out from PSO Blanchard Tap to PSO Cornville. 109 did not reclose due to no HLIP condition because of PSO outage. Closed 109 by SCADA to energize PSO Blanchard load.,1,0.01,59.46999999999928
Failed Protection System Equipment - Misoperation from fault on the Tinker #4 111 to Tinker #5 110 138kV line - Disturbance ID 11375,1,0.01,59.47999999999928
Lightning - Tinker #5 110 did not operate since Tinker #2 was already open,1,0.01,59.48999999999928
Other - Loss of Boiler Feed Pump.  Called SPP.  Sent out Emergency Alert email.  PCB 382 was in outage so it didn't operate.,1,0.01,59.499999999999275
"Failed Protection System Equipment - Misoperation from fault on the Arcadia 113, 183 to Horseshoe Lake 108, 181 to Memorial 107  138kV line - Disturbance ID 10944",1,0.01,59.50999999999927
"Lightning - During this fault, Horseshoe Lake 6 tripped offline in a seperate disturbance. Draper Lake breakers operated. Comms lost at Tinker #5 but it appears that Tinker 109 is open and the load is off. The load on Tinker #5 is currently off because Tinker #2 is currently out of service with a seperate fault. SE 15th 106 does no appear to have operated.",1,0.01,59.51999999999927
"Failed AC Substation Equipment - DCC, OMPA, Edmond Electric notified. Cause unknown at this time.  Danforth 138kV PCB 111 has blown up per field reports.",1,0.01,59.52999999999927
Unknown - The Sudden pressure relay operated to trip Tinker Bus #2.,1,0.01,59.53999999999927
"Weather, excluding lightning - Chandler 11 goes 17 miles to the NO switch Sinclair Drumright 30 on one side and Horseshoe Lake 14 on the other.  Only Chandler 11 operated.",1,0.01,59.549999999999265
"Weather, excluding lightning - PSO Welleetka 61A didn't operate.  Clouds in the area.",1,0.01,59.55999999999926
"Other - Loss of mills, unit tripped, brought unit back online",1,0.01,59.56999999999926
"Unknown - Cleo Corner did not close back because of low air alarm. After alarm cleared, I was able to close back.",1,0.01,59.57999999999926
"Failed Protection System Equipment - Misoperation from fault on the Healdton Tap 182 to Sunnyside 119, 189 138kV line - Disturbance ID 10929",1,0.01,59.58999999999926
"Weather, excluding lightning - Ratliff PCB 106 operated for no apperant reason",1,0.01,59.599999999999255
Lightning - This is for PCB 114 at Lula even though the number is PCB 101.,1,0.01,59.60999999999925
Unknown - Scada was down at Cushing Tap at the time of the disturbance PCB 6 did not show to operate.,1,0.01,59.61999999999925
"Unknown - Greg Hunt and crews were working on PCB breaker functional and bus differentials. As per switching S0998, tripping was lifted for PCB 113 so that when they did their testing the breaker should not have tripped, but it did. PCB 112 was already open and on manual due to other switching. Greg Hunt is investigating why this breaker tripped. We contacted customer before closing back to make sure they were in the clear.",1,0.01,59.62999999999925
"Weather, excluding lightning - Third Street 69kV PCB 84 failed to reclose after fault on line section.",1,0.01,59.63999999999925
Unknown - PCB 383 did not operate because it was already cleared out for new construction. SPS did operate on their end.,1,0.01,59.649999999999245
